Date;Nombre de mots
22/12/2022;2922
23/12/2022;2935
25/12/2022;2933
26/12/2022;2934
28/12/2022;2924
29/12/2022;2915
30/12/2022;2908
01/01/2023;2903
02/01/2023;2891
03/01/2023;2887
06/01/2023;2882
07/01/2023;2878
10/01/2023;2871
15/01/2023;2853
16/01/2023;2847
17/01/2023;2829
18/01/2023;2826
22/01/2023;2826
26/01/2023;2822
29/01/2023;2815
01/02/2023;2809
03/02/2023;2807
09/02/2023;2808
12/02/2023;2800
19/02/2023;2797
26/02/2023;2794
2023-05-18;2787
2023-06-01;2787
2023-06-03;2787
2023-06-03;2787
2023-06-03;2787
2023-06-03;2787
2023-06-03;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-18;2787
2023-06-22;2787
2023-06-22;2787
2023-06-22;2787
2023-06-24;2422
2023-06-29;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-02;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
2023-07-03;2422
